Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
PV Hopelchén,FP Proyectos de Energia Renovable de Mexico S. de R.L. de C.V,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,FP Proyectos de Energia Renovable de Mexico S. de R.L. de C.V,Privado,null,10,null,10,No definida,Campeche,,04CA2020EW013,Negado,,-10000610.826526595,2238933.7612791853
Rancho Los Insurgentes,ASTRUM DESARROLLOS SUSTENTABLES  SAPI de C.V.,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,ASTRUM DESARROLLOS SUSTENTABLES  SAPI de C.V.,Privado,null,26,null,30,No definida,Guanajuato,Permiso no encontrado,,No encontrado,,-11205515.239414208,2423347.2895121775
Río Coapa,Hidroeléctrica Río Coapa S.A.P.I. de C.V.,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Hidroeléctrica Río Coapa S.A.P.I. de C.V.,Privado,null,12,null,9,No definida,Chiapas,Permiso no encontrado,07CH2012ED064,Autorizado,,-10359295.112206778,1771738.4483343007
Río Frio,"Hidroelectrica Río Frio, S.A. de C.V",Turbina Hidráulica,En proyecto con permiso de la CRE terminado,Agua,"Hidroelectrica Río Frio, S.A. de C.V",Privado,null,20,116,30,Autoabastecimiento,Chiapas,E/1371/AUT/2015,07CH2017E0024,Negado,,-10327060.921703849,1878971.7551126874
Río Margaritas,Hidroeléctrica Río Margaritas S.A. de C.V.,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Hidroeléctrica Río Margaritas S.A. de C.V.,Privado,null,13,null,20,No definida,Chiapas,Permiso no encontrado,07CH2012ED064,Autorizado,,-10355493.228769662,1762707.3934315199
Río Opac,Hidroeléctrica Río Opac S.A. de C.V.,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Hidroeléctrica Río Opac S.A. de C.V.,Privado,null,15,null,1,No definida,Chiapas,Permiso no encontrado,07CH2012ED064,Autorizado,,-10360263.517192619,1767640.1373063202
Rio Verde (planta solar),"GPI NEXT ENERGY, S. A. P. I. DE C. V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Next Energy,Privado,null,100,null,111,No definida,San Luis Potosí,Permiso no encontrado,24SL2019E0017,Autorizado,,-11124801.605479917,2516403.906632892
Saltillo FV,"SALTILLO FV, S.A. DE C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"SALTILLO FV, S.A. DE C.V.",Privado,null,150,null,180,No definida,Coahuila,Permiso no encontrado,05CO2019E0008,Autorizado condicionado,,-11256776.591429533,2901494.7206289456
Salto del agua,CFE,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,CFE,Público,null,20,null,null,No definida,Chiapas,Permiso no encontrado,,No encontrado,,-10274825.944931757,1982154.0079276462
Salvador I,"HOLA ENERGIA, S. DE R. L. DE C. V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"HOLA ENERGIA, S. DE R. L. DE C. V",Privado,null,448,null,380,No definida,Puebla,Permiso no encontrado,21PU2018E0094,En evaluacion,,-10869827.866249265,2178299.053636354
San Agustín Etla,DPI Desarrollo de Proyectos de Ingeniería S.C,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,DPI Desarrollo de Proyectos de Ingeniería S.C,Privado,null,5,null,9,No definida,Oaxaca,Permiso no encontrado,20OA2018E0043,Negado,,-10767002.534616914,1944575.4537190506
San Felipe,"Enera Energy de México, S. de R.L. de C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"Enera Energy de México, S. de R.L. de C.V.",Privado,null,120,null,150,No definida,Quintana Roo,Permiso no encontrado,23QR2018ED181,En evaluacion,,-9833935.019438714,2130023.605599728
San Francisco (Yucatán),"Solarvento Energía, S. C.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"Solarvento Energía, S. C.",Privado,null,6,9.01,1,Generación,Yucatán,E/1737/GEN/2016,31YU2016ED032,Autorizado,,-9848698.585454402,2354108.0322576314
San Isidro,"Desarrollos Solares PV de México III, S.A. de C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Energía Aljaval,Privado,null,302,null,350,No definida,Coahuila,Permiso no encontrado,05CO2017E0098,Autorizado condicionado,,-11280229.489729768,3085933.5733737983
San Jerónimo Solar,San Jerónirno Solar S.A.P.I de C.V.,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Vertex Group,Privado,null,100,null,null,No definida,Chihuahua,Permiso no encontrado,08CI2018E0144,Autorizado condicionado,,-11881914.30413184,3729206.1398389325
San José,"HIDROELECTRICA XOCHIMILCO, S.A. DE C.V.",Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,"HIDROELECTRICA XOCHIMILCO, S.A. DE C.V",Privado,null,null,null,null,No definida,Chiapas,Permiso no encontrado,,No encontrado,,-10380885.751198309,1967019.5124219132
San Marcos,"EPC GEA System S.A, de C.V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"EPC GEA System S.A, de C.V.",Privado,null,30,null,30,No definida,Baja California Sur,E/1156/PP/2014,03BS2013ED021,Autorizado,,-12277647.49857307,2739703.04797503
San Marcos Solar 1,"PRENERGY SUSTENTABLE, S. A. DE C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Prenergy,Privado,null,180,6352,117,Generación,Jalisco,E/1553/GEN/2015,14JA2020E0142,En evaluacion,,-11529246.398330241,2310506.983052262
Santa Rosalia Etapa 2,CFE GENERACION I EPS,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,CFE,Público,null,9,null,22,No definida,Baja California Sur,Permiso no encontrado,03BS2014E0001,Autorizado condicionado,,-12526493.633055914,3174750.460536671
Solar Fotovoltaica CRT,CEMENTOS MOCTEZUMA SA DE CV,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Cementos Moctezuma,Privado,null,10,null,10,No definida,San Luis Potosí,Permiso no encontrado,24SL2020E0036,En evaluacion,,-11174702.114568923,2568127.6937471936
Tamuin 1,PROYECTO FOTOVOLTAICO TAMUIN 1 S.A.P.I. DE C.V.,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,PROYECTO FOTOVOLTAICO TAMUIN 1 S.A.P.I. DE C.V.,Privado,null,214,null,169,No definida,San Luis Potosí,Permiso no encontrado,24SL2019E0021,Autorizado,,-11002784.50865691,2549699.854871341
